1 May 2006	7479563
Ain't That Lonely Yet	4697305
Aleksandr Zakharov	4188611
All Japan Rugby Football Championship	4728290
Amos Tamam	6968115
Aristocles	859
Arjan van Duinen	2765882
At Your Inconvenience	4812441
Aya Imamura	8149266
Aynard Guigues de Moreton de Chabrillan	2874992
Baldur Sigurdsson	3633294
Brian Jeffries	5205330
Carl Rudolf Forsman	5495083
Category:1635 in Asia	8097863
Category:1968 in military history	8155526
Category:Airports in Sonora	8229308
Category:August 1928 events	7583592
Category:Buildings and structures in Ille-et-Vilaine	8321578
Category:Buildings and structures in the Territoire de Belfort	8325167
Category:Burials in Somerset	8328778
Category:Commercial buildings on the National Register of Historic Places in Baltimore	8394001
Category:Covered bridges in Illinois	8425256
Category:Cricket in Qatar	8426913
Category:Indonesian child musicians	8547152
Category:Neapolitan families	8670053
Category:People educated at St Christopher School, Letchworth	8724606
Category:Shady Records artists	8734632
Champs-Élysées	550
Cherry Monroe	5092434
Chorinea gratiosa	2144343
Civil rights	5124684
Collinsville, Mississippi	2634302
Deschampsia flexuosa	161742
Donington le Heath	5296126
Ermin van Wyk	1355932
Fight Club	3071621
Foornvliet	663613
Grant Colfax Tullar	6216575
Greene (village), New York	3461035
Gudrun Maria Abt	122678
Guigong	5973808
Hatherton	2515066
Heinrichsort	1487788
J. Tinsley Oden	3528819
JobServe Community Stadium	1141371
Jose Manuel Rueda	2417906
Juliana Götze	1712081
KIU	396360
Kappalabandham	6367118
Kornel Stodola	3487227
Kretania martini	2875270
Lew	564125
Little Robertson River	1566413
MBK Industrie	2725930
Masked Rider	738633
Mats Erik Adolf Rehnberg	6066593
Mayan Empress	6718292
Menchalville	6816524
Miguel Zacarias	729180
Mike Kracalik	6847560
Mularoni	1952065
Muziek Centrum Nederland	2576394
Nicolaus Knufer	936917
Novorodchitsi	4325109
Osgood Building	7106536
Pachyanthidium rufescens	4489846
People from Dibër County	8732277
Philip Rosseter	1374217
Pizhansky District	2218676
Pomona	7227384
Prescottia	135776
Qizi	496787
Romina Demetz	1720065
Saint-Malo declaration	3489902
Saturn Award for Best Television Presentation	1291196
Saul of the Mole Men	3474204
Stenwick	709038
Technical Sciences Novi Sad	5261105
Tommy Petersen	3992911
Trifolium	101538
Troglocaris	3999613
Tuman River	7852487
Vorous General Store	7941872
Welcome 2 My Nightmare	249624
West Athens	1358774
Willemien	2285179
Wizards of Ooze	1837505
Women on Top	8031621
Yvonne McKague Housser	8062492
diocese of Minsk	3920736
education of Togo	5341166
endosymbiotic genetic exchange	3921102
fecal incontinence	1147182
hallucinogenic agent	194270
heat of vaporization	483538
homeovestism	1285302
lieutenant-fireworker	6544386
list of municipalities in Granada	93197
script analysis	4447737
trans-Neptunian object	6592
